obdb_id,name,brewery_type,street,address_2,address_3,city,state,county_province,postal_code,website_url,phone,country,longitude,latitude,tags
10-56-brewing-company-knox,10-56 Brewing Company,micro,400 Brown Cir,,,Knox,Indiana,,46534,,6308165790,United States,-86.627954,41.289715,
10-barrel-brewing-co-bend-1,10 Barrel Brewing Co,large,62970 18th St,,,Bend,Oregon,,97701-9847,http://www.10barrel.com,5415851007,United States,-121.28170597038259,44.08683530625218,
10-barrel-brewing-co-bend-2,10 Barrel Brewing Co,large,1135 NW Galveston Ave Ste B,,,Bend,Oregon,,97703-2465,,5415851007,United States,-121.32880209261799,44.057564901366796,
10-barrel-brewing-co-bend-pub-bend,10 Barrel Brewing Co - Bend Pub,large,62950 NE 18th St,,,Bend,Oregon,,97701,,5415851007,United States,-121.2809536,44.0912109,
10-barrel-brewing-co-boise-boise,10 Barrel Brewing Co - Boise,large,826 W Bannock St,,,Boise,Idaho,,83702-5857,http://www.10barrel.com,2083445870,United States,-116.202929,43.618516,
10-barrel-brewing-co-denver-denver,10 Barrel Brewing Co - Denver,large,2620 Walnut St,,,Denver,Colorado,,80205-2231,,7205738992,United States,-104.9853655,39.7592508,
10-barrel-brewing-co-portland,10 Barrel Brewing Co,large,1411 NW Flanders St,,,Portland,Oregon,,97209-2620,http://www.10barrel.com,5032241700,United States,-122.6855056,45.5259786,
10-barrel-brewing-co-san-diego,10 Barrel Brewing Co,large,1501 E St,,,San Diego,California,,92101-6618,http://10barrel.com,6195782311,United States,-117.129593,32.714813,
10-torr-distilling-and-brewing-reno,10 Torr Distilling and Brewing,micro,490 Mill St,,,Reno,Nevada,,89502,http://www.10torr.com,7755307014,United States,-119.7732015,39.5171702,
101-brewery-quilcene,101 Brewery,brewpub,294793 US Highway 101,,,Quilcene,Washington,,98376-9000,http://www.101brewery.com,3607656485,United States,-122.87558226136872,47.823475773720666,
101-north-brewing-company-petaluma,101 North Brewing Company,closed,1304 Scott St Ste D,,,Petaluma,California,,94954-7100,http://www.101northbeer.com,7077534934,United States,-122.66505504468803,38.270293813150886,
105-west-brewing-co-castle-rock,105 West Brewing Co,micro,1043 Park St,,,Castle Rock,Colorado,,80109-1585,http://www.105westbrewing.com,3033257321,United States,-104.8667206,39.38269495,
10k-brewing-anoka,10K Brewing,micro,2005 2nd Ave,,,Anoka,Minnesota,,55303-2243,http://10KBrew.com,7633924753,United States,-93.38952559,45.19812039,
10th-district-brewing-company-abington,10th District Brewing Company,micro,491 Washington St,,,Abington,Massachusetts,,02351-2419,http://www.10thdistrictbrewing.com,7813071554,United States,-70.94594149,42.10591754,
11-below-brewing-company-houston,11 Below Brewing Company,micro,6820 Bourgeois Rd,,,Houston,Texas,,77066-3107,http://www.11belowbrewing.com,2814442337,United States,-95.5186591,29.9515464,
1188-brewing-co-john-day,1188 Brewing Co,brewpub,141 E Main St,,,John Day,Oregon,,97845-1210,http://www.1188brewing.com,5415751188,United States,-118.9218754,44.4146563,
12-acres-brewing-company-killeshin,12 Acres Brewing Company,micro,Unnamed Street,Clonmore,,Killeshin,,Laois,R93 X3X8,https://12acresbrewing.ie/,+353599107299,Ireland,-6.979343891,52.84930763,
12-gates-brewing-company-williamsville,12 Gates Brewing Company,brewpub,80 Earhart Dr Ste 20,,,Williamsville,New York,,14221-7804,http://www.12gatesbrewing.com,7169066600,United States,,,
12-west-brewing-company-gilbert,12 West Brewing Company,micro,3000 E Ray Rd Bldg 6,,,Gilbert,Arizona,,85296-7832,http://www.12westbrewing.com,6023395014,United States,,,
12-west-brewing-company-production-facility-mesa,12 West Brewing Company - Production Facility,micro,,,,Mesa,Arizona,,85207,,,United States,-111.5860662,33.436188,
122-west-brewing-co-bellingham,122 West Brewing Co,closed,2416 Meridian St,,,Bellingham,Washington,,98225-2405,https://www.122westbrew.com/,3603063285,United States,-122.485982,48.7621709,
127-brewing-jackson,127 Brewing,micro,3090 Shirley Dr,,,Jackson,Michigan,,49201-7010,,5172581346,United States,-84.43116792,42.28667212,
12degree-brewing-louisville,12Degree Brewing,brewpub,820 Main St,,,Louisville,Colorado,,80027-1865,http://www.12degree.com,3035791004,United States,-105.1319826,39.9782443,
12welve-eyes-brewing-saint-paul,12welve Eyes Brewing,micro,141 E 4th St Ste LL2,,,Saint Paul,Minnesota,,55101-1639,http://www.12welveEyes.com,6514938106,United States,,,
13-below-brewery-cincinnati,13 Below Brewery,micro,7391 Forbes Rd,,,Cincinnati,Ohio,,45233-1013,http://www.13belowbrewery.com,5139750613,United States,-84.70634815,39.12639764,
"13-stripes-brewery-taylors,13 Stripes Brewery,brewpub,""250 Mill St, Suite PW3101"",,,Taylors,South Carolina,,29687,http://www.13StripesBrewery.com,8643491430,United States,,,"
13-virtues-brewing-co-portland,13 Virtues Brewing Co,brewpub,6410 SE Milwaukie Ave,,,Portland,Oregon,,97202-5518,http://www.13virtuesbrewing.com,5032393831,United States,-122.6487531,45.4762536,
1323-r-and-d-raleigh,1323 R & D,micro,1323 Capital Blvd 1323 R and D,,,Raleigh,North Carolina,,27603-1117,http://www.1323rnd.com,9199775654,United States,,,
14-cannons-brewing-company-westlake-village,14 Cannons Brewing Company,micro,31125 Via Colinas Ste 907,,,Westlake Village,California,,91362-3974,http://14cannons.com,8186996165,United States,-118.802397,34.15334,
14-lakes-brewery-crosslake,14 Lakes Brewery,micro,,,,Crosslake,Minnesota,,56442,,2186924129,United States,,,
14er-brewing-company-denver,14er Brewing Company,proprietor,2801 Walnut St,,,Denver,Colorado,,80205-2235,http://www.14erBrewing.com,7207731437,United States,-104.9839636,39.7614112,
14th-star-brewing-saint-albans,14th Star Brewing,micro,133 N Main St Ste 7,,,Saint Albans,Vermont,,05478-1735,http://www.14thstarbrewing.com,8025285988,United States,,,
16-lots-brewing-mason,16 Lots Brewing,brewpub,753 Reading Rd,,,Mason,Ohio,,45040-1303,http://www.16lots.com,5134863672,United States,-84.3183801,39.3545967,
16-mile-brewing-co-georgetown,16 Mile Brewing Co,micro,413 S Bedford St,,,Georgetown,Delaware,,19947-1849,http://www.16milebrewery.com,3022538816,United States,-75.37816436,38.6788938,
16-stone-brewpub-holland-patent,16 Stone Brewpub,brewpub,9542 Main St,,,Holland Patent,New York,,13354,http://www.16stonebrewpub.com,3158658500,United States,-75.2565195,43.24211175,
"1623-brewing-co-llc-westminister,""1623 Brewing CO, llc"",contract,1146 colonel Joshua Ct,,,Westminister,Maryland,,21157,,,United States,,,"
1717-brewing-co-des-moines,1717 Brewing Co,micro,322 E Court Ave,,,Des Moines,Iowa,,50309-2015,http://1717brewing.com,5152437868,United States,-93.6120353,41.5872267,
1718-ocracoke-brewing-ocracoke,1718 Ocracoke Brewing,brewpub,1129 Irvin Garrish Hwy,,,Ocracoke,North Carolina,,27960,http://www.ocracokebrewing.com,2529282337,United States,-75.97176063,35.10715368,
1781-brewing-company-spotsylvania,1781 Brewing Company,micro,11109 Plank Rd,,,Spotsylvania,Virginia,,22553-4258,,5408412598,United States,,,
180-and-tapped-coraopolis,180 and Tapped,micro,2010 A State Ave,,,Coraopolis,Pennsylvania,,15108,http://www.180andtapped.com,4127375273,United States,-80.15020356,40.50984957,
1817-brewery-okolona,1817 Brewery,micro,100 B South Olive St,,,okolona,Mississippi,,38860,,6623055907,United States,-88.750264,34.001703,
1840-brewing-company-milwaukee,1840 Brewing Company,micro,342 E Ward St,,,Milwaukee,Wisconsin,,53207-1348,http://www.1840brewing.com,4142364056,United States,-87.90606942,43.00436242,
1850-brewing-company-mariposa,1850 Brewing Company,micro,,,,Mariposa,California,,95338,http://www.1850restaurant.com,,United States,-119.9036592,37.570148,
18th-street-brewery-gary,18th Street Brewery,micro,5725 Miller Ave,,,Gary,Indiana,,46403-2871,http://www.18thstreetbrewery.com,,United States,-87.26887786,41.59928343,
18th-street-brewery-hammond,18th Street Brewery,micro,5417 Oakley Ave,,,Hammond,Indiana,,46320-1817,,,United States,-87.517422,41.61556796,
1905-brewing-company-assumption,1905 Brewing Company,micro,1301 S Chestnut St,,,Assumption,Illinois,,62510-8504,http://1905BrewingCompany.com,2172549374,United States,-89.0503635,39.5172564,
1912-brewing-tucson,1912 Brewing,micro,2045 N Forbes Blvd Ste 105,,,Tucson,Arizona,,85745-1444,http://www.1912brewing.com,5202564851,United States,-110.9927505,32.24673727,
192-brewing-kenmore,192 Brewing,micro,7324 NE 175th St,,,Kenmore,Washington,,98028-2500,http://www.192brewing.com,4254242337,United States,-122.2415652,47.75670075,
1940s-brewing-company-holbrook,1940's Brewing Company,micro,1337 Lincoln Ave Unit 1,,,Holbrook,New York,,11741-2275,http://www.1940sbrewingcompany.com,6315334838,United States,,,
1st-republic-brewing-co-essex-junction,1st Republic Brewing Co,micro,39 River Rd Ste 6,,,Essex Junction,Vermont,,05452-3879,http://www.1strepublic-homebrew.com,8028575318,United States,,,
2-basset-brewery-white-sulphur-springs,2 Basset Brewery,micro,202 E Main St,,,White Sulphur Springs,Montana,,59645-9081,http://www.2bassetbrewery.com,4065472337,United States,-110.9004865,46.54807609,
2-dogz-and-a-guy-brewing-montrose,2 Dogz and A Guy Brewing,micro,228 Church St,,,Montrose,Pennsylvania,,18801-1271,http://2dogzandaguybrewing.com,5704320069,United States,-75.8800318,41.8336364,
2-feet-brewing-company-bangor,2 Feet Brewing Company,brewpub,80 Columbia St,,,Bangor,Maine,,04401-6319,http://www.2feetbrewing.com,2075731979,United States,-68.77283099,44.80012684,
2-row-brewing-midvale,2 Row Brewing,micro,6856 S 300 W,,,Midvale,Utah,,84047-1083,http://www.2rowbrewing.com,8019878663,United States,-111.9007652,40.5950202,
2-silos-brewing-company-manassas,2 Silos Brewing Company,micro,9925 Discovery Blvd,,,Manassas,Virginia,,20109,http://www.2silosbrewing.com,7034202257,United States,,,
2-tones-brewing-co-whitehall,2 Tones Brewing Co.,micro,4539 E Broad St,,,Whitehall,Ohio,,43213-1308,http://www.2tonesbrewingco.com,,United States,-82.9118174,40.0030689,
2-tread-brewing-co-santa-rosa,2 Tread Brewing Co,brewpub,1018 Santa Rosa Plz,,,Santa Rosa,California,,95401-6399,http://www.2treadbrewing.com,4152330857,United States,-122.7167729,38.4387767,
2-way-brewing-company-beacon,2 Way Brewing Company,brewpub,18 W Main St,,,Beacon,New York,,12508-2512,http://www.2waybrewingcompany.com,8452027334,United States,-73.9809868,41.5082102,
2-witches-winery-and-brewing-company-danville,2 Witches Winery and Brewing Company,micro,209 Trade St,,,Danville,Virginia,,24541-3545,http://www.2witcheswinebrew.com,4345492739,United States,-79.42125553,36.58590349,
20-corners-brewing-llc-woodinville,20 Corners Brewing LLC,brewpub,14148 NE 190th St Ste A,,,Woodinville,Washington,,98072-8437,http://www.20cornersbrewing.com,4253755223,United States,-122.1517007,47.76864300772501,
210-brewing-co-arlington,210 Brewing Co,brewpub,3438 Stoluckquamish Ln,,,Arlington,Washington,,98223-9056,http://www.angelofthewind.com,3604749740,United States,-122.18421,48.215096,
212-brewing-company-davenport,212 Brewing Company,contract,21476 Route 23,,,Davenport,New York,,13750,,2123779050,United States,,,
217-brew-works-wilson,217 Brew Works,micro,217 South St S,,,Wilson,North Carolina,,27893-4911,,2529916959,United States,-77.9120318,35.7227625,
21st-amendment-brewery-cafe-san-francisco,21st Amendment Brewery Cafe,brewpub,563 2nd St,,,San Francisco,California,,94107-1411,http://www.21st-amendment.com,4153690900,United States,-122.3925769,37.782448,
21st-amendment-brewery-san-leandro,21st Amendment Brewery,regional,2010 Williams St Unit A,,,San Leandro,California,,94577-2334,http://www.21st-Amendment.com,5105952111,United States,-122.17729280237437,37.71130035804804,
21st-st-brewers-bar-saint-louis,21st St Brewers Bar,brewpub,2017 Chouteau Ave,,,Saint Louis,Missouri,,63103,http://www.21stbrew.com,3142416969,United States,-90.213781,38.624291,
